"from","to","correlation","from_color","to_color"
"KIN SELECTION","ALTRUISM",0.561595204987952,"#F8766D","#F8766D"
"ALTRUISM","KIN SELECTION",0.561595204987952,"#F8766D","#F8766D"
"MEANING","INFORMATION",0.483512131713307,"#CD9600","#7CAE00"
"INFORMATION","MEANING",0.483512131713307,"#7CAE00","#CD9600"
"SYNTHETIC BIOLOGY","ENGINEERING",0.391289406494383,"#00BE67","#00BE67"
"ENGINEERING","SYNTHETIC BIOLOGY",0.391289406494383,"#00BE67","#00BE67"
"KIN SELECTION","MULTILEVEL SELECTION",0.366923740706455,"#F8766D","#00BFC4"
"MULTILEVEL SELECTION","KIN SELECTION",0.366923740706455,"#00BFC4","#F8766D"
"MULTILEVEL SELECTION","GROUP SELECTION",0.341224973053034,"#00BFC4","#00BFC4"
"GROUP SELECTION","MULTILEVEL SELECTION",0.341224973053034,"#00BFC4","#00BFC4"
"BIOLOGY","MEANING",0.324384787472036,"#CD9600","#CD9600"
"MEANING","BIOLOGY",0.324384787472036,"#CD9600","#CD9600"
"NATURAL KINDS","HOMOLOGY",0.31981981981982,"#CD9600","#CD9600"
"HOMOLOGY","NATURAL KINDS",0.31981981981982,"#CD9600","#CD9600"
"POPULATION GENETICS","MODERN SYNTHESIS",0.313677824773342,"#00A9FF","#00A9FF"
"MODERN SYNTHESIS","POPULATION GENETICS",0.313677824773342,"#00A9FF","#00A9FF"
"GENETIC ASSIMILATION","EPIGENETICS",0.298584945034006,"#00BFC4","#00A9FF"
"EPIGENETICS","GENETIC ASSIMILATION",0.298584945034006,"#00A9FF","#00BFC4"
"EVOLUTIONARY ECONOMICS","DARWINISM",0.298584945034006,"#00A9FF","#7CAE00"
"DARWINISM","EVOLUTIONARY ECONOMICS",0.298584945034006,"#7CAE00","#00A9FF"
"MULTILEVEL SELECTION","ALTRUISM",0.285857985015533,"#00BFC4","#F8766D"
"ALTRUISM","MULTILEVEL SELECTION",0.285857985015533,"#F8766D","#00BFC4"
"EVOLVABILITY","ENGINEERING",0.274503523382447,"#00BE67","#00BE67"
"ENGINEERING","EVOLVABILITY",0.274503523382447,"#00BE67","#00BE67"
"NATURAL SELECTION","SELF-ORGANIZATION",0.26473922882438,"#00BFC4","#7CAE00"
"SELF-ORGANIZATION","NATURAL SELECTION",0.26473922882438,"#7CAE00","#00BFC4"
"METAPHOR","ADAPTATIONISM",0.260254032998325,"#00BE67","#00BE67"
